RecordID,Date,DataCenter,Uptime_Percent,Downtime_Min,Incidents,MTTR_Hours,MTBF_Hours,Temp_C,Humidity_Percent,Power_kWh,Network_Latency_ms,CPU_Util_Percent,Backup_Success_Percent,MaintenanceType,SLA_Compliance_Percent
19,2025-09-03,Daimler DC Möhringen,97.643,33.9,1,1.27,374.8,19.6,52.6,988,4.31,57.2,97.63,Unscheduled,100
20,2025-09-05,Daimler DC Untertürkheim,99.57,6.2,1,1.33,762.8,21.6,47.3,954.8,9.61,34.7,94.71,Unscheduled,96.56
21,2025-09-06,Daimler DC Vaihingen,99.644,5.1,5,0.57,379,21.5,35.4,1156.3,4.7,70.6,96.56,Unscheduled,96.48
22,2025-09-08,Daimler DC Vaihingen,99.257,10.7,0,2.03,594.3,18.3,48.7,1008.8,4.28,50.6,92.19,Unscheduled,98.22
23,2025-09-10,Daimler DC Sindelfingen,97.966,29.3,3,0.95,281.5,23.1,40.8,1191.6,4.16,30,95.79,Scheduled,95.78
24,2025-09-12,Daimler DC Möhringen,98.932,15.4,0,4.75,308.1,21.9,39,1056.7,6.87,81.6,93.56,Unscheduled,97.11
25,2025-09-13,Daimler DC Untertürkheim,97.586,34.8,4,2.99,522.5,22,43.2,1061.9,9.77,71.8,92.26,Scheduled,97.7
26,2025-09-15,Daimler DC Vaihingen,99.081,13.2,1,3.15,650.9,20.7,54.8,1000.7,8.73,32.5,94.13,Scheduled,95.82
27,2025-09-17,Daimler DC Sindelfingen,98.219,25.6,0,4.79,476.8,19.9,44.7,1085.9,4.73,35.7,91.88,Unscheduled,97.32
28,2025-09-19,Daimler DC Vaihingen,99.819,2.6,3,1.44,768.3,23.3,47.7,1055.9,8.59,60.3,93.25,Scheduled,95.55
29,2025-09-20,Daimler DC Vaihingen,98.877,16.2,5,3.06,292.4,20.3,37.7,949.6,1.99,30.3,96.53,Scheduled,96.18
30,2025-09-22,Daimler DC Vaihingen,99.481,7.5,4,2.3,559,18.8,50.8,915.4,5.9,33,90.01,Unscheduled,95.47
31,2025-09-24,Daimler DC Sindelfingen,99.36,9.2,3,3.74,740.7,22.1,52.8,940.9,4.64,81.5,97.95,Unscheduled,99.71
32,2025-09-26,Daimler DC Vaihingen,98.988,14.6,0,4.09,760.7,23.1,38.7,1084.7,9.7,78.4,98.14,Scheduled,99.53
33,2025-09-27,Daimler DC Möhringen,97.813,31.5,4,2.12,545.2,23.5,53.4,823.9,8.62,50.9,98.5,Scheduled,95.52
34,2025-09-29,Daimler DC Vaihingen,97.396,37.5,5,2.81,781,18.2,46.1,1062.7,3.86,37.8,91.99,Unscheduled,95.58
35,2025-10-01,Daimler DC Möhringen,98.393,23.1,2,3.04,788.2,22.3,40.5,1197.8,5.33,67.1,95.32,Scheduled,96.42
36,2025-10-03,Daimler DC Vaihingen,99.78,3.2,5,4.84,389.1,19.4,43.2,1132.3,8.85,33.3,98.29,Scheduled,99.19
37,2025-10-04,Daimler DC Vaihingen,99.669,4.8,1,4.45,284.7,21.7,47.3,983.9,7.89,57.2,96.78,Scheduled,96.84
38,2025-10-06,Daimler DC Möhringen,97.341,38.3,0,2.72,507.8,20.1,44.4,1074,2.39,67.6,97.75,Scheduled,99.07
39,2025-10-08,Daimler DC Vaihingen,98.015,28.6,1,1.76,445.7,21.3,37.2,857,9.34,53.2,97.44,Unscheduled,97.39
40,2025-10-10,Daimler DC Vaihingen,98.29,24.6,4,1,483.8,19.2,48.6,1179.2,1.89,47.7,97.21,Scheduled,97.71
41,2025-10-11,Daimler DC Untertürkheim,99.956,0.6,0,3.33,357.6,20.9,45.5,930.7,6.95,46.5,91.75,Scheduled,95.22
42,2025-10-13,Daimler DC Möhringen,97.518,35.7,1,1.46,636.4,20.2,52.8,814.1,4.97,32.3,98.61,Scheduled,95.77
43,2025-10-15,Daimler DC Sindelfingen,99.015,14.2,5,4.38,226.3,21.4,53.1,1147.1,1.69,37.5,99.9,Scheduled,95.62
44,2025-10-17,Daimler DC Untertürkheim,97.236,39.8,0,1.62,292.9,21.9,47.5,971.5,1.72,60.5,97.23,Unscheduled,97.84
45,2025-10-18,Daimler DC Untertürkheim,98.462,22.1,3,0.66,768.2,19.7,46.7,843.4,9.14,81.2,94.6,Unscheduled,96.16
46,2025-10-20,Daimler DC Sindelfingen,98.744,18.1,1,0.71,228.7,19.4,53.3,1041.5,1.86,78.7,98.84,Scheduled,99.42
47,2025-10-22,Daimler DC Möhringen,98.246,25.3,4,2.71,297.5,18.9,54.5,990.6,2.86,54.9,93.61,Scheduled,95.89
48,2025-10-24,Daimler DC Sindelfingen,99.13,12.5,0,2.14,335.1,22.1,44,1169.3,1.34,32.7,92.52,Scheduled,97.31
49,2025-10-25,Daimler DC Untertürkheim,99.904,1.4,5,1.67,605,21.7,51.9,825.4,1.71,40.3,93.83,Scheduled,98.45
50,2025-10-27,Daimler DC Untertürkheim,99.472,7.6,4,2.32,299.5,22.9,35.1,1148.1,5.83,42.4,95.89,Unscheduled,97.94
51,2025-10-29,Daimler DC Möhringen,99.231,11.1,5,1.29,421.8,20.8,44.2,1080.5,6.89,30.5,95.13,Unscheduled,98.7
52,2025-10-31,Daimler DC Sindelfingen,97.593,34.7,0,3.28,523,21.8,54,1013.7,4.36,67.5,91.68,Unscheduled,99.4
53,2025-11-01,Daimler DC Untertürkheim,97.079,42.1,3,4.78,656.5,20.3,45.6,835.2,4.86,36,91.03,Unscheduled,99.01
54,2025-11-03,Daimler DC Vaihingen,99.867,1.9,5,3.48,689.5,19.5,44.2,970,1.69,78.5,97.56,Unscheduled,98.34
55,2025-11-05,Daimler DC Vaihingen,99.336,9.6,0,4.19,271.4,22.8,45.8,996,1.33,55.9,91.1,Unscheduled,96.24
56,2025-11-07,Daimler DC Möhringen,98.249,25.2,3,1.9,258.8,18.1,49.3,1094.6,7.5,89.8,95.45,Unscheduled,99.04
57,2025-11-08,Daimler DC Vaihingen,97.528,35.6,2,2.12,330.5,23,35.7,836.8,4.77,75.1,90.35,Unscheduled,99.9
58,2025-11-10,Daimler DC Untertürkheim,98.089,27.5,1,4.43,514.5,23.3,54.2,1027.3,1.94,32.5,97.72,Unscheduled,98.55
59,2025-11-12,Daimler DC Sindelfingen,97.611,34.4,5,1.55,669.4,21,37.2,924,8.79,51.9,90.35,Unscheduled,96.07
60,2025-11-14,Daimler DC Untertürkheim,99.009,14.3,0,3.74,598.7,21.7,49.1,847,7.29,51.1,94.24,Unscheduled,97.36
61,2025-11-15,Daimler DC Sindelfingen,99.25,10.8,1,4.2,280.8,22.1,46.9,1002.7,1.8,79.8,91.6,Scheduled,99.85
62,2025-11-17,Daimler DC Sindelfingen,98.491,21.7,4,2.51,798.6,19.7,38.9,924.2,6.43,47.4,94.13,Scheduled,96.88
63,2025-11-19,Daimler DC Möhringen,97.192,40.4,3,0.71,711.3,21,42.7,924.1,8.58,51.7,90.7,Scheduled,96.15
64,2025-11-21,Daimler DC Untertürkheim,97.253,39.6,4,1.34,704.1,24,45.7,1078,1.82,42.3,94.47,Scheduled,96.77
65,2025-11-22,Daimler DC Möhringen,98.962,14.9,0,0.78,475.8,23,43.7,1103.2,5.75,61.7,99.13,Scheduled,99.89
66,2025-11-24,Daimler DC Sindelfingen,99.402,8.6,3,3.58,281.6,21.6,43,1106.8,9.32,36.7,96.03,Scheduled,97.25
67,2025-11-26,Daimler DC Untertürkheim,99.555,6.4,4,0.79,715,18.9,50.8,999.4,4.24,73.8,91.49,Unscheduled,99.51
68,2025-11-28,Daimler DC Möhringen,98.826,16.9,2,4.21,533.1,22.8,37.9,1145.1,4.1,74,90.36,Scheduled,95.35
69,2025-11-29,Daimler DC Vaihingen,99.558,6.4,3,1.51,525.5,21.4,47.9,803.8,4.69,65,90.76,Scheduled,98.35
70,2025-12-01,Daimler DC Vaihingen,97.752,32.4,2,1.81,242.2,21.1,53.1,893.9,4.23,77.6,92.94,Scheduled,97.78
71,2025-12-03,Daimler DC Vaihingen,97.821,31.4,3,0.83,270.9,21.9,48.2,1115.4,3.7,86.4,99.12,Scheduled,95.94
72,2025-12-05,Daimler DC Sindelfingen,97.41,37.3,5,4.24,214.7,20.4,42.2,1153.8,1.24,83.6,93.84,Scheduled,98.32
73,2025-12-06,Daimler DC Sindelfingen,98.51,21.5,5,2.69,236,19.8,37.5,1194.5,7.74,52.2,94.22,Scheduled,97.33
74,2025-12-08,Daimler DC Untertürkheim,99.418,8.4,5,2.6,386.4,21.4,38.1,1153,9.28,76,93.43,Unscheduled,98.84
75,2025-12-10,Daimler DC Vaihingen,99.212,11.3,4,4.02,428.6,19.2,35.4,982,2.09,39.3,99.53,Unscheduled,99.4
76,2025-12-12,Daimler DC Sindelfingen,97.035,42.7,1,4.29,659.8,20.8,44.9,1023.4,9.69,63.3,90.02,Unscheduled,97.91
77,2025-12-13,Daimler DC Vaihingen,99.696,4.4,4,3.22,642.1,21,54.2,916.8,4.55,53.2,93.15,Unscheduled,99.95
78,2025-12-15,Daimler DC Möhringen,97.955,29.4,0,1.89,590.9,23.6,48.1,972.3,9.53,38.6,96.81,Scheduled,95
79,2025-12-17,Daimler DC Vaihingen,97.103,41.7,1,4.69,309.2,22,39.4,1119.5,4.48,37.2,96.75,Unscheduled,97.09
80,2025-12-19,Daimler DC Untertürkheim,99.561,6.3,3,1.51,574.6,23.3,52.5,1110.7,3.25,40.5,95.48,Unscheduled,99.52
81,2025-12-20,Daimler DC Möhringen,99.723,4,0,4.41,653.7,18.6,45.5,1094.7,6.56,85.5,90.82,Scheduled,96.03
82,2025-12-22,Daimler DC Sindelfingen,99.236,11,1,4.25,318.8,20,50.9,893.6,5.21,78,98.43,Unscheduled,97.59
83,2025-12-24,Daimler DC Vaihingen,97.615,34.3,1,3.31,715.5,22,40.5,911.3,6.36,48.8,96.47,Unscheduled,96.82
84,2025-12-26,Daimler DC Sindelfingen,99.972,0.4,4,4.29,757.1,21,50.3,967.6,3.17,37.7,95.86,Scheduled,99.89
85,2025-12-27,Daimler DC Möhringen,99.587,5.9,4,3.23,264.9,19.9,38,895.1,3.74,49.2,95.13,Unscheduled,95.33
86,2025-12-29,Daimler DC Untertürkheim,97.559,35.2,5,0.72,459,21.3,41.3,1133.4,7.85,78.2,95.53,Unscheduled,99.35
87,2025-12-31,Daimler DC Untertürkheim,99.876,1.8,0,2.99,245.6,21.8,39.1,1152.9,5.05,54.8,96.08,Unscheduled,96.03
88,2026-01-02,Daimler DC Untertürkheim,98.106,27.3,0,1.72,602.2,19,52,1145,1.76,64.6,94.92,Scheduled,98.49
89,2026-01-03,Daimler DC Möhringen,97.302,38.9,0,2.53,235.5,18.7,54.6,895,9.74,41.4,91.38,Unscheduled,96.22
90,2026-01-05,Daimler DC Vaihingen,99.364,9.2,1,4.87,663.5,19.9,36.2,890.4,2.84,86.9,97.07,Scheduled,95.66
91,2026-01-07,Daimler DC Untertürkheim,99.328,9.7,0,1.64,428.9,21.6,42.2,951.5,6.36,36.4,97.39,Scheduled,96.77
92,2026-01-09,Daimler DC Untertürkheim,97.022,42.9,5,2.15,307.5,23.9,45.4,970.4,3.62,33.6,96.79,Scheduled,99.02
93,2026-01-10,Daimler DC Möhringen,97.393,37.5,2,4.27,291.5,20.6,54.2,1170.6,7.58,42.4,92.29,Unscheduled,99.04
94,2026-01-12,Daimler DC Sindelfingen,98.168,26.4,5,1.76,609,20.7,54.4,967.2,8.44,33.2,92.58,Unscheduled,98.84
95,2026-01-14,Daimler DC Sindelfingen,99.914,1.2,4,0.93,629.2,20,37.8,1030.8,4.91,43.8,99.08,Unscheduled,99.77
96,2026-01-16,Daimler DC Untertürkheim,97.121,41.5,2,3.93,680.8,22.4,48,948.6,5.12,37.8,95.6,Scheduled,96.89
97,2026-01-17,Daimler DC Möhringen,97.432,37,2,2.06,246.9,19.3,55,953.5,7.47,89.3,92.2,Unscheduled,97.45
98,2026-01-19,Daimler DC Vaihingen,98.743,18.1,1,0.94,295.3,23.7,45.5,1091.2,2.29,85.8,99.9,Scheduled,96.26
99,2026-01-21,Daimler DC Sindelfingen,97.568,35,2,1.67,704.9,18.9,36.7,934.5,1.87,89.6,91.9,Scheduled,95.76
100,2026-01-23,Daimler DC Sindelfingen,99.274,10.5,3,3.12,231.1,19.3,37.5,924.2,8.56,34,91.4,Scheduled,99.86
